layer_name,family,side,block,d_in,mean_act_salience,max_act_salience,mean_wt_salience,max_wt_salience,top1_median_ratio_act,top1_median_ratio_wt,gini_act,gini_wt,mean_spearman_rho,std_spearman_rho,min_spearman_rho,max_spearman_rho,mean_jaccard_topk,cov_temporal,early_late_topk_jaccard,risk_score
blocks.22.text.mlp.fc2,fc2,text,22,6144,50.510009765625,414.3758239746094,0.09329181909561157,0.38330078125,17.557729039873397,5.374411582946777,0.6131559894591899,0.37021239625672453,0.728260752278055,0.009299626549922417,0.7171533377460044,0.7463276248824326,0.556382326044428,0.24657534062862396,0.8285714285714286,0.5345844214087305
blocks.22.text.mlp.fc1,fc1,text,22,1536,4.911835670471191,349.0414123535156,0.03897140547633171,0.69970703125,90.42670685904366,19.043190002441406,0.36579407613580284,0.15865400245837136,0.7912466580759757,0.020735861843906238,0.720742882010685,0.8245511493222362,0.6759910017933127,0.09797536581754684,0.6842105263157895,0.4634483142279772
context_embedder,context_embedder,shared,-1,4096,1.8470581769943237,854.0,0.19963699579238892,0.5849609375,831.6652221679688,3.0561225414276123,0.6244398223381155,0.12630019354765643,-0.3416527314213818,5.551115123125783e-17,-0.34165273142138175,-0.34165273142138175,0.14285714285714285,0.0,1.0,0.45306470420243034
blocks.1.image.attn.q_proj,q_proj,image,1,1536,0.7195935845375061,12.749311447143555,0.17205892503261566,1.07421875,29.916537352970668,7.4702887535095215,0.5570905966394631,0.3217869872504402,0.7035970547643543,0.03905755076438132,0.6240054188880135,0.747880345714776,0.1475935696832767,0.282169908285141,0.23076923076923078,0.41175256119618364
final_layer.linear,final_linear,image,-1,1536,0.7711156010627747,23.649978637695312,0.03309550881385803,0.28759765625,77.0174057824271,26.223304748535156,0.6948021961869679,0.572390069797482,0.6725953002742553,0.04516782701047411,0.5823031619868927,0.8089652900653443,0.11867942936210439,0.3971659243106842,0.10344827586206896,0.4103065397727758
blocks.21.text.mlp.fc2,fc2,text,21,6144,19.67508888244629,183.6519775390625,0.08228503912687302,0.2479248046875,10.021222523280553,3.1150307655334473,0.4822982296375038,0.2605322992954866,0.6107042378746169,0.014097717612410033,0.5914538235577605,0.6399523033702372,0.09211661532557283,0.27408134937286377,0.7777777777777778,0.4101499179504713
blocks.14.text.mlp.fc2,fc2,text,14,6144,7.183707237243652,252.23719787597656,0.20259828865528107,1.6572265625,31.65003912789481,9.513665199279785,0.18904128140695614,0.18908507335022806,0.10766663711438106,0.04833035689220284,0.0023709767963017297,0.17419565236581677,0.10280376569711829,0.16086745262145996,0.45454545454545453,0.40737068424973116
blocks.21.text.mlp.fc1,fc1,text,21,1536,3.6594631671905518,246.91513061523438,0.034949373453855515,0.54296875,69.5053517477853,16.550697326660156,0.36133242416756256,0.15891385784000156,0.6448466971949738,0.008723896237942971,0.6343748722722465,0.6672791646830478,0.6297497966304129,0.1131361648440361,0.7777777777777778,0.3867791175891451
blocks.1.image.attn.v_proj,v_proj,image,1,1536,0.7195935845375061,12.749311447143555,0.13311713933944702,0.783203125,29.916537352970668,5.902483940124512,0.5570905966394631,0.24837083799875237,0.6795306967576938,0.014680460348091298,0.661207496582524,0.7161710827686113,0.12803484666934634,0.282169908285141,0.23076923076923078,0.3857905199509406
blocks.14.image.attn.k_proj,k_proj,image,14,1536,1.906494379043579,21.523813247680664,0.21515119075775146,2.671875,7.513151219912937,15.976642608642578,0.16689275048240287,0.2469919766375388,0.2534364482495131,0.13342178695640675,0.09948540467173311,0.5070213685284037,0.10854459351183333,0.13264212012290955,0.4883720930232558,0.3856328765462372
